geoid,county,state,countystate,L_cc_heatscore,R_heat_worry
01001,Autauga County,Alabama,"Autauga County, Alabama",97.646,45.208
01003,Baldwin County,Alabama,"Baldwin County, Alabama",95.328,38.724
01005,Barbour County,Alabama,"Barbour County, Alabama",96.349,48.805
01007,Bibb County,Alabama,"Bibb County, Alabama",91.982,45.522
01009,Blount County,Alabama,"Blount County, Alabama",89.626,37.375
01011,Bullock County,Alabama,"Bullock County, Alabama",94.29,51.005
01013,Butler County,Alabama,"Butler County, Alabama",96.216,44.827
01015,Calhoun County,Alabama,"Calhoun County, Alabama",92.363,41.708
01017,Chambers County,Alabama,"Chambers County, Alabama",92.195,46.935
01019,Cherokee County,Alabama,"Cherokee County, Alabama",90.068,37.09
01021,Chilton County,Alabama,"Chilton County, Alabama",92.27,45.086
01023,Choctaw County,Alabama,"Choctaw County, Alabama",96.155,44.648
01025,Clarke County,Alabama,"Clarke County, Alabama",95.923,45.785
01027,Clay County,Alabama,"Clay County, Alabama",89.404,39.877
01029,Cleburne County,Alabama,"Cleburne County, Alabama",88.681,35.98
01031,Coffee County,Alabama,"Coffee County, Alabama",95.084,42.717
01033,Colbert County,Alabama,"Colbert County, Alabama",90.606,38.201
01035,Conecuh County,Alabama,"Conecuh County, Alabama",95.908,44.423
01037,Coosa County,Alabama,"Coosa County, Alabama",91.622,40.741
01039,Covington County,Alabama,"Covington County, Alabama",96.001,38.835
01041,Crenshaw County,Alabama,"Crenshaw County, Alabama",95.308,41.061
01043,Cullman County,Alabama,"Cullman County, Alabama",87.898,37.617
01045,Dale County,Alabama,"Dale County, Alabama",96.99,44.359
01047,Dallas County,Alabama,"Dallas County, Alabama",98.834,50.072
01049,Dekalb County,Alabama,"DeKalb County, Alabama",86.577,39.245
01051,Elmore County,Alabama,"Elmore County, Alabama",95.347,43.565
01053,Escambia County,Alabama,"Escambia County, Alabama",96.98,40.002
01055,Etowah County,Alabama,"Etowah County, Alabama",92.023,41.158
01057,Fayette County,Alabama,"Fayette County, Alabama",91.408,41.774
01059,Franklin County,Alabama,"Franklin County, Alabama",91.424,39.242
01061,Geneva County,Alabama,"Geneva County, Alabama",96.966,39.242
01063,Greene County,Alabama,"Greene County, Alabama",96.949,53.148
01065,Hale County,Alabama,"Hale County, Alabama",96.766,48.503
01067,Henry County,Alabama,"Henry County, Alabama",97.43,42.473
01069,Houston County,Alabama,"Houston County, Alabama",98.07,45.267
01071,Jackson County,Alabama,"Jackson County, Alabama",87.178,35.72
01073,Jefferson County,Alabama,"Jefferson County, Alabama",90.581,50.355
01075,Lamar County,Alabama,"Lamar County, Alabama",92.101,40.433
01077,Lauderdale County,Alabama,"Lauderdale County, Alabama",90.032,41.404
01079,Lawrence County,Alabama,"Lawrence County, Alabama",92.739,38.081
01081,Lee County,Alabama,"Lee County, Alabama",93.04,46.028
01083,Limestone County,Alabama,"Limestone County, Alabama",92.054,37.223
01085,Lowndes County,Alabama,"Lowndes County, Alabama",98.216,48.72
01087,Macon County,Alabama,"Macon County, Alabama",93.497,51.617
01089,Madison County,Alabama,"Madison County, Alabama",92.851,45.496
01091,Marengo County,Alabama,"Marengo County, Alabama",96.958,45.46
01093,Marion County,Alabama,"Marion County, Alabama",92.011,39.837
01095,Marshall County,Alabama,"Marshall County, Alabama",90.112,40.368
01097,Mobile County,Alabama,"Mobile County, Alabama",96.93,54.034
01099,Monroe County,Alabama,"Monroe County, Alabama",95.343,44.552
01101,Montgomery County,Alabama,"Montgomery County, Alabama",98.623,54.153
01103,Morgan County,Alabama,"Morgan County, Alabama",92.986,41.776
01105,Perry County,Alabama,"Perry County, Alabama",96.513,49.822
01107,Pickens County,Alabama,"Pickens County, Alabama",94.42,48.759
01109,Pike County,Alabama,"Pike County, Alabama",94.488,47.123
01111,Randolph County,Alabama,"Randolph County, Alabama",90.175,39.053
01113,Russell County,Alabama,"Russell County, Alabama",98.506,46.382
01115,St. Clair County,Alabama,"St. Clair County, Alabama",90.966,38.136
01117,Shelby County,Alabama,"Shelby County, Alabama",93.059,43.395
01119,Sumter County,Alabama,"Sumter County, Alabama",95.525,51.172
01121,Talladega County,Alabama,"Talladega County, Alabama",91.885,45.152
01123,Tallapoosa County,Alabama,"Tallapoosa County, Alabama",92.118,43.817
01125,Tuscaloosa County,Alabama,"Tuscaloosa County, Alabama",94.076,49.207
01127,Walker County,Alabama,"Walker County, Alabama",91.095,41.466
01129,Washington County,Alabama,"Washington County, Alabama",96.536,41.373
01131,Wilcox County,Alabama,"Wilcox County, Alabama",97.291,49.767
01133,Winston County,Alabama,"Winston County, Alabama",91.704,37.941
04001,Apache County,Arizona,"Apache County, Arizona",68.235,50.021
04003,Cochise County,Arizona,"Cochise County, Arizona",84.912,60.572
04005,Coconino County,Arizona,"Coconino County, Arizona",67.755,48.041
04007,Gila County,Arizona,"Gila County, Arizona",85.648,53.323
04009,Graham County,Arizona,"Graham County, Arizona",84.522,62.341
04011,Greenlee County,Arizona,"Greenlee County, Arizona",83.957,59.106
04012,La Paz County,Arizona,"La Paz County, Arizona",86.475,60.971
04013,Maricopa County,Arizona,"Maricopa County, Arizona",82.335,67.636
04015,Mohave County,Arizona,"Mohave County, Arizona",88.107,58.577
04017,Navajo County,Arizona,"Navajo County, Arizona",71.956,46.259
04019,Pima County,Arizona,"Pima County, Arizona",93.977,65.88
04021,Pinal County,Arizona,"Pinal County, Arizona",84.754,59.842
04023,Santa Cruz County,Arizona,"Santa Cruz County, Arizona",85.93,65.697
04025,Yavapai County,Arizona,"Yavapai County, Arizona",80.596,44.428
04027,Yuma County,Arizona,"Yuma County, Arizona",86.102,68.278
05001,Arkansas County,Arkansas,"Arkansas County, Arkansas",97.032,47.713
05003,Ashley County,Arkansas,"Ashley County, Arkansas",96.089,47.42
05005,Baxter County,Arkansas,"Baxter County, Arkansas",83.004,40.232
05007,Benton County,Arkansas,"Benton County, Arkansas",79.533,46.907
05009,Boone County,Arkansas,"Boone County, Arkansas",81.17,41.399
05011,Bradley County,Arkansas,"Bradley County, Arkansas",95.94,51.97
05013,Calhoun County,Arkansas,"Calhoun County, Arkansas",95.764,46.18
05015,Carroll County,Arkansas,"Carroll County, Arkansas",79.956,43.966
